著者名,所属1,所属2,所属3,所属4,タイトル,年度,学会名
高橋 大介,筑波大学,,,,Intel AVX-512命令を用いた複数のモジュラ逆数計算の高速化,2025,日本応用数理学会
高橋 大介,筑波大学,,,,数学定数に対する2進BBP型公式の計算におけるMontgomery乗算の使用について,2022,日本応用数理学会
高橋 大介,筑波大学,,,,数学定数に対する2進BBP型公式の計算におけるMontgomery乗算の使用について,2022,日本応用数理学会
高橋 大介,筑波大学,,,,数学定数に対する2進BBP型公式の計算における除算について,2024,日本応用数理学会
高橋 大介,筑波大学,,,,数学定数に対する2進BBP型公式の計算における除算について,2024,日本応用数理学会
高橋 大介,筑波大学,,,,二次元分割を用いた並列三次元FFTにおける計算と通信のオーバーラップの自動チューニング,2021,日本応用数理学会
高橋 大介,筑波大学,,,,二次元分割を用いた並列三次元FFTにおける計算と通信のオーバーラップの自動チューニング,2021,日本応用数理学会
高橋 大輔,早稲田大学,,,,Max-Plus版2次元Nicholson-Baileyモデルの解について,2021,日本応用数理学会
高橋 大輔,早稲田大学,,,,Max-Plus版2次元Nicholson-Baileyモデルの解について,2021,日本応用数理学会
高橋 大輔,早稲田大学,,,,ファジーセルオートマトンの漸近挙動解析,2021,日本応用数理学会
高橋 大輔,早稲田大学,,,,ファジーセルオートマトンの漸近挙動解析,2021,日本応用数理学会
高橋 大輔,早稲田大学,,,,群集を表現する数理モデルとしての5近傍セルオートマトンについて,2024,日本応用数理学会
高橋 大輔,早稲田大学,,,,群集を表現する数理モデルとしての5近傍セルオートマトンについて,2024,日本応用数理学会
高橋 大輔,早稲田大学,,,,個人行動履歴を用いた感染モデルについて,2022,日本応用数理学会
高橋 大輔,早稲田大学,,,,個人行動履歴を用いた感染モデルについて,2022,日本応用数理学会
高橋 大輔,早稲田大学基幹理工学研究科,,,,合成順序の交換によるmax-min方程式と解の構成,2021,日本応用数理学会
高橋 大輔,早稲田大学基幹理工学研究科,,,,合成順序の交換によるmax-min方程式と解の構成,2021,日本応用数理学会
高橋 大輔,早稲田大学,,,,再帰max-plus方程式の高階化で得られる漸近安定系について,2025,日本応用数理学会
高橋 大輔,早稲田大学,,,,再帰max-plus方程式の高階化で得られる漸近安定系について,2025,日本応用数理学会
高橋 大輔,早稲田大学,,,,二次元箱玉系について,2025,日本応用数理学会
高橋 大輔,早稲田大学,,,,二次元箱玉系について,2025,日本応用数理学会
高橋 直樹,福岡工業大学,,,,GANを用いた分岐パラメータに依存したカオス時系列の生成,2022,日本応用数理学会
高橋 直樹,福岡工業大学,,,,GANを用いた分岐パラメータに依存したカオス時系列の生成,2022,日本応用数理学会
高橋 徹,名古屋大学,,,,FreeFEMを用いたレベルセット法に基づくトポロジー最適化,2024,日本応用数理学会
高橋 徹,名古屋大学,,,,FreeFEMを用いたレベルセット法に基づくトポロジー最適化,2024,日本応用数理学会
高橋 怜甫,北海道大学,,,,非凸な石の摩耗過程における待ち時間効果,2022,日本応用数理学会
高橋 怜甫,北海道大学,,,,非凸な石の摩耗過程における待ち時間効果,2022,日本応用数理学会
高橋 和暉,筑波大学,,,,遅延Duffing方程式の結合系に対する同期解の精度保証付き数値計算,2022,日本応用数理学会
高橋 和暉,筑波大学,,,,遅延Duffing方程式の結合系に対する同期解の精度保証付き数値計算,2022,日本応用数理学会
高坂 良史,神戸大学,,,,Helfrich型エネルギーの勾配流に対する閾値型近似アルゴリズムについて,2024,日本応用数理学会
高坂 良史,神戸大学,,,,Helfrich型エネルギーの勾配流に対する閾値型近似アルゴリズムについて,2024,日本応用数理学会
高山 彰優,山形大学大学院理工学研究科,,,,EFG型鞍点問題に対する改良型変数低減法の収束特性,2021,日本応用数理学会
高山 彰優,山形大学大学院理工学研究科,,,,EFG型鞍点問題に対する改良型変数低減法の収束特性,2021,日本応用数理学会
高山 彰優,山形大学,,,,超伝導リニア加速システムのFEMシミュレーション：電磁石電流がペレット速度に及ぼす影響,2022,日本応用数理学会
高山 彰優,山形大学,,,,超伝導リニア加速システムのFEMシミュレーション：電磁石電流がペレット速度に及ぼす影響,2022,日本応用数理学会
高山 彰優,山形大学,,,,超伝導リニア加速システムの数値シミュレーション：電磁石の形状最適化,2021,日本応用数理学会
高山 彰優,山形大学,,,,超伝導リニア加速システムの数値シミュレーション：電磁石の形状最適化,2021,日本応用数理学会
高山 彰優,山形大学,,,,超伝導リニア加速システムの電磁石形状最適化,2024,日本応用数理学会
高山 彰優,山形大学,,,,超伝導リニア加速システムの電磁石形状最適化,2024,日本応用数理学会
高山 彰優,山形大学,,,,非対称EFG型鞍点問題に対する高性能ソルバーの一般化,2024,日本応用数理学会
高山 彰優,山形大学,,,,非対称EFG型鞍点問題に対する高性能ソルバーの一般化,2024,日本応用数理学会
高山 彰優,山形大学大学院理工学研究科,,,,非対称EFG型鞍点問題への改良型変数低減法の拡張,2022,日本応用数理学会
高山 彰優,山形大学大学院理工学研究科,,,,非対称EFG型鞍点問題への改良型変数低減法の拡張,2022,日本応用数理学会
高市 康平,九州工業大学,,,,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,2025,日本応用数理学会
高市 康平,九州工業大学,,,,整数化した4次元Lorenz-Stenflo方程式の出力値系列に関する乱数性の調査,2025,日本応用数理学会
高松 尚輝,早稲田大学基幹理工学研究科数学応用数理専攻,,,,遅延van der Pol-Duffing方程式に対する逆分岐図を用いた分数調波解の解析,2021,日本応用数理学会
高松 尚輝,早稲田大学基幹理工学研究科数学応用数理専攻,,,,遅延van der Pol-Duffing方程式に対する逆分岐図を用いた分数調波解の解析,2021,日本応用数理学会
高松 尚輝,早稲田大学応用数理学科,,,,遅延van der Pol-Duffing方程式の非周期解の数値計算,2021,日本応用数理学会
高松 尚輝,早稲田大学応用数理学科,,,,遅延van der Pol-Duffing方程式の非周期解の数値計算,2021,日本応用数理学会
高松 瑞代,中央大学,,,,ジャイレータを含む回路の微分代数方程式モデルの解析,2024,日本応用数理学会
高松 瑞代,中央大学,,,,ジャイレータを含む回路の微分代数方程式モデルの解析,2024,日本応用数理学会
高石 武史,武蔵野大学工学部,,,,2次元アーチにおけるき裂進展シミュレーション,2024,日本応用数理学会
高石 武史,武蔵野大学工学部,,,,2次元アーチにおけるき裂進展シミュレーション,2024,日本応用数理学会
高石 武史,武蔵野大学,,,,FreeFEM と IPOPT パッケージを用いた接触変形によるき裂進展の解析,2025,日本応用数理学会
高石 武史,武蔵野大学,,,,FreeFEM と IPOPT パッケージを用いた接触変形によるき裂進展の解析,2025,日本応用数理学会
高石 武史,武蔵野大学工学部,,,,FreeFEM を用いた変分不等式型き裂進展シミュレーション,2021,日本応用数理学会
高石 武史,武蔵野大学工学部,,,,FreeFEM を用いた変分不等式型き裂進展シミュレーション,2021,日本応用数理学会
高石 武史,武蔵野大学,,,,FreeFEM 講習会　-- 3次元領域での流れ問題の並列計算,2021,日本応用数理学会
高石 武史,武蔵野大学,,,,FreeFEM 講習会　-- 3次元領域での流れ問題の並列計算,2021,日本応用数理学会
高石 武史,武蔵野大学,,,,外部接触条件を加えたフェーズフィールドき裂進展シミュレーション,2022,日本応用数理学会
高石 武史,武蔵野大学,,,,外部接触条件を加えたフェーズフィールドき裂進展シミュレーション,2022,日本応用数理学会
高谷 周平,個人,,,,前処理付きCGS法に対するDeflationの適用,2025,日本応用数理学会
高谷 周平,個人,,,,前処理付きCGS法に対するDeflationの適用,2025,日本応用数理学会
高津 飛鳥,東京都立大学,,,,正則化最適輸送問題におけるスケーリングの影響,2024,日本応用数理学会
高津 飛鳥,東京都立大学,,,,正則化最適輸送問題におけるスケーリングの影響,2024,日本応用数理学会
高田 英行,東邦大学理学部情報科学科,,,,情報アプローチによるFirst-to-Default Swapプレミアムのダイナミクスについて,2021,日本応用数理学会
高田 英行,東邦大学理学部情報科学科,,,,情報アプローチによるFirst-to-Default Swapプレミアムのダイナミクスについて,2021,日本応用数理学会
高田 雅美,奈良女子大学,,,,特異値分解のための両側ヤコビ法の複素数行列に対する効率的な実装法,2021,日本応用数理学会
高田 雅美,奈良女子大学,,,,特異値分解のための両側ヤコビ法の複素数行列に対する効率的な実装法,2021,日本応用数理学会
高田 雅美,奈良女子大学,,,,分散共分散行列の逆行列の対角成分の逆数の高精度計算から拡張版 Lotka-Volterra 方程式へ,2025,日本応用数理学会
高田 雅美,奈良女子大学,,,,分散共分散行列の逆行列の対角成分の逆数の高精度計算から拡張版 Lotka-Volterra 方程式へ,2025,日本応用数理学会
高田 悠（明治大学先端数理科学インスティチュート(MIMS)）,,,,,結晶構造シミュレータの開発について,2021,日本応用数理学会
高田 悠（明治大学先端数理科学インスティチュート(MIMS)）,,,,,結晶構造シミュレータの開発について,2021,日本応用数理学会
高木 剛,東京大学大学院情報理工学系研究科,,,,効率的な同種写像計算Square-root Vélu法における最適な添え字集合の探索,2022,日本応用数理学会
高木 剛,東京大学大学院情報理工学系研究科,,,,効率的な同種写像計算Square-root Vélu法における最適な添え字集合の探索,2022,日本応用数理学会
高木 山河,株式会社　TMEIC,,,,ベイズ最適化によるプラントモデルパラメータの同定,2022,日本応用数理学会
高木 山河,株式会社　TMEIC,,,,ベイズ最適化によるプラントモデルパラメータの同定,2022,日本応用数理学会
高木 清二,公立はこだて未来大学,,,,Belousov Zhabotinsky反応を用いたリザバー計算の数理モデリング,2024,日本応用数理学会
高木 清二,公立はこだて未来大学,,,,Belousov Zhabotinsky反応を用いたリザバー計算の数理モデリング,2024,日本応用数理学会
高木 清二,公立はこだて未来大学,,,,Belousov-Zhabotinsky反応を用いたsin波を生成するレザバー計算の提案とシミュレーション,2021,日本応用数理学会
高木 清二,公立はこだて未来大学,,,,Belousov-Zhabotinsky反応を用いたsin波を生成するレザバー計算の提案とシミュレーション,2021,日本応用数理学会
高野 祥汰,立命館大学大学院,,,,冠動脈バイパス術の血流解析における循環モデルの有効性の検証,2024,日本応用数理学会
高野 祥汰,立命館大学大学院,,,,冠動脈バイパス術の血流解析における循環モデルの有効性の検証,2024,日本応用数理学会
高野 祐一,筑波大学,,,,基数制約つき分布ロバストポートフォリオ最適化,2022,日本応用数理学会
高野 祐一,筑波大学,,,,基数制約つき分布ロバストポートフォリオ最適化,2022,日本応用数理学会
高棹 圭介,京都大学大学院理学研究科,,,,フェイズフィールド法による外力項付き平均曲率流方程式の弱解の構成とその応用,2024,日本応用数理学会
高棹 圭介,京都大学大学院理学研究科,,,,フェイズフィールド法による外力項付き平均曲率流方程式の弱解の構成とその応用,2024,日本応用数理学会
高棹 圭介,京都大学大学院理学研究科,,,,固体の自己駆動体運動に対する反応拡散系モデル,2025,日本応用数理学会
高棹 圭介,京都大学大学院理学研究科,,,,固体の自己駆動体運動に対する反応拡散系モデル,2025,日本応用数理学会
合原 一幸,東京大学,,,,電力系統における潮流方程式を用いた動的頑健性の評価,2025,日本応用数理学会
合原 一幸,東京大学,,,,電力系統における潮流方程式を用いた動的頑健性の評価,2025,日本応用数理学会
合田 隆,東京大学 大学院工学系研究科,,,,解析関数に対する求積公式の最悪誤差の下界について,2024,日本応用数理学会
合田 隆,東京大学 大学院工学系研究科,,,,解析関数に対する求積公式の最悪誤差の下界について,2024,日本応用数理学会
国府 寛司,京都大学,,,,受動歩行における吸引領域の変化とそのメカニズム,2021,日本応用数理学会
国府 寛司,京都大学,,,,受動歩行における吸引領域の変化とそのメカニズム,2021,日本応用数理学会
国府 寛司,京都大学,,,,力学系のリザバー計算,2021,日本応用数理学会
国府 寛司,京都大学,,,,力学系のリザバー計算,2021,日本応用数理学会
黒岩 巧,東京理科大学大学院 理学研究科,,,,中心多様体理論を用いた時間遅れ付き離散ロトカ・ヴォルテラ方程式の局所安定性解析,2025,日本応用数理学会
黒岩 巧,東京理科大学大学院 理学研究科,,,,中心多様体理論を用いた時間遅れ付き離散ロトカ・ヴォルテラ方程式の局所安定性解析,2025,日本応用数理学会
黒田 紘敏,北海道大学,,,,４階全変動流方程式の解の挙動について,2024,日本応用数理学会
黒田 紘敏,北海道大学,,,,４階全変動流方程式の解の挙動について,2024,日本応用数理学会
今井 仁司,同志社大学,,,,破産確率の数値計算について,2022,日本応用数理学会
今井 仁司,同志社大学,,,,破産確率の数値計算について,2022,日本応用数理学会
今成 宏幸,株式会社　TMEIC,,,,ベイズ最適化によるプラントモデルパラメータの同定,2022,日本応用数理学会
今成 宏幸,株式会社　TMEIC,,,,ベイズ最適化によるプラントモデルパラメータの同定,2022,日本応用数理学会
今川 真城,京都大学,,,,自然境界条件を伴う楕円型正則化による移流方程式の数値計算,2021,日本応用数理学会
今川 真城,京都大学,,,,自然境界条件を伴う楕円型正則化による移流方程式の数値計算,2021,日本応用数理学会
今倉 暁,筑波大学,,,,DE積分型行列関数計算法に対する部分固有対デフレーションに基づく収束性改善およびその性能評価,2024,日本応用数理学会
今倉 暁,筑波大学,,,,DE積分型行列関数計算法に対する部分固有対デフレーションに基づく収束性改善およびその性能評価,2024,日本応用数理学会
今倉 暁,筑波大学,,,,シングルセル遺伝子発現データに対するクラスタリングのための差分進化に基づく特徴選択法,2025,日本応用数理学会
今倉 暁,筑波大学,,,,シングルセル遺伝子発現データに対するクラスタリングのための差分進化に基づく特徴選択法,2025,日本応用数理学会
今倉 暁,筑波大学,,,,データコラボレーション解析を用いた多機関分散fMRIデータに対する精神疾患予測,2025,日本応用数理学会
今倉 暁,筑波大学,,,,データコラボレーション解析を用いた多機関分散fMRIデータに対する精神疾患予測,2025,日本応用数理学会
今倉 暁,筑波大学,,,,一般化エルミート固有値問題に対するRayleigh-Ritz版の周回積分型精度保証付 き部分固有対計算,2022,日本応用数理学会
今倉 暁,筑波大学,,,,一般化エルミート固有値問題に対するRayleigh-Ritz版の周回積分型精度保証付 き部分固有対計算,2022,日本応用数理学会
今倉 暁,筑波大学,,,,微分作用素の固有値問題に対する複素モーメントを用いた精度保証付き数値計算とMathieu方程式およびSchrödinger方程式への応用,2025,日本応用数理学会
今倉 暁,筑波大学,,,,微分作用素の固有値問題に対する複素モーメントを用いた精度保証付き数値計算とMathieu方程式およびSchrödinger方程式への応用,2025,日本応用数理学会
今村 寿子,九州大学大学院医学研究院 系統解剖学分野,,,,食道運動の数理モデルと食道運動異常症,2022,日本応用数理学会
今村 寿子,九州大学大学院医学研究院 系統解剖学分野,,,,食道運動の数理モデルと食道運動異常症,2022,日本応用数理学会
今村 俊幸,理化学研究所計算科学センター,,,,２ステップ型反復改良法を用いた連立１次方程式の高精度計算法,2021,日本応用数理学会
今村 俊幸,理化学研究所計算科学センター,,,,２ステップ型反復改良法を用いた連立１次方程式の高精度計算法,2021,日本応用数理学会
今村 俊幸,国立研究開発法人理化学研究所,,,,CP-ALSについてのHPCからの考察と試み,2021,日本応用数理学会
今村 俊幸,国立研究開発法人理化学研究所,,,,CP-ALSについてのHPCからの考察と試み,2021,日本応用数理学会
今村 俊幸,理化学研究所,,,,CPUにおけるbatched BLASのためのタスクスケジューリング戦略,2021,日本応用数理学会
今村 俊幸,理化学研究所,,,,CPUにおけるbatched BLASのためのタスクスケジューリング戦略,2021,日本応用数理学会
今村 俊幸,理化学研究所,,,,固有値分解に対する2ステップ型反復改良法,2022,日本応用数理学会
今村 俊幸,理化学研究所,,,,固有値分解に対する2ステップ型反復改良法,2022,日本応用数理学会
今村 俊幸,理化学研究所,,,,行列積に対するGEMM-basedな試行型エミュレーションについて,2025,日本応用数理学会
今村 俊幸,理化学研究所,,,,行列積に対するGEMM-basedな試行型エミュレーションについて,2025,日本応用数理学会
今村 俊幸,理化学研究所,,,,縦長行列に対する混合精度Cholesky QRアルゴリズム,2022,日本応用数理学会
今村 俊幸,理化学研究所,,,,縦長行列に対する混合精度Cholesky QRアルゴリズム,2022,日本応用数理学会
今村 俊幸,国立研究開発法人理化学研究所,,,,非正規化合成浮動小数点数を用いた計算方法の実装方法について,2024,日本応用数理学会
今村 俊幸,国立研究開発法人理化学研究所,,,,非正規化合成浮動小数点数を用いた計算方法の実装方法について,2024,日本応用数理学会
今村 俊幸,理化学研究所計算科学研究センター,,,,尾崎スキームによる無限精度内積と再現可能疎行列反復ソルバーへの応用,2022,日本応用数理学会
今村 俊幸,理化学研究所計算科学研究センター,,,,尾崎スキームによる無限精度内積と再現可能疎行列反復ソルバーへの応用,2022,日本応用数理学会
今田 凜輝,東京大学,,,,回転対称なWaterbomb Tessellationによる波状曲面-一般展開図における安定性解析-,2021,日本応用数理学会
今田 凜輝,東京大学,,,,回転対称なWaterbomb Tessellationによる波状曲面-一般展開図における安定性解析-,2021,日本応用数理学会
今田 凜輝,東京大学,,,,折紙/切紙テッセレーションに現れるソリトンと力学系による解析,2022,日本応用数理学会
今田 凜輝,東京大学,,,,折紙/切紙テッセレーションに現れるソリトンと力学系による解析,2022,日本応用数理学会
今田 凜輝,東京大学,,,,離散力学系モデルを用いた多自由度のMaxwell origami tubeの解析,2024,日本応用数理学会
今田 凜輝,東京大学,,,,離散力学系モデルを用いた多自由度のMaxwell origami tubeの解析,2024,日本応用数理学会
今野 紀雄,立命館大学,,,,グローヴァーの探索アルゴリズムと絶対ゼータ関数,2024,日本応用数理学会
今野 紀雄,立命館大学,,,,グローヴァーの探索アルゴリズムと絶対ゼータ関数,2024,日本応用数理学会
今野 紀雄,立命館大学,,,,ランダムウォークや相関付きランダムウォークにもとづく時系列解析,2024,日本応用数理学会
今野 紀雄,立命館大学,,,,ランダムウォークや相関付きランダムウォークにもとづく時系列解析,2024,日本応用数理学会
今野 紀雄,日本大学,,,,規則的なlong edgeを追加した格子模型における量子探索の探索時間の解析的な評価,2025,日本応用数理学会
今野 紀雄,日本大学,,,,規則的なlong edgeを追加した格子模型における量子探索の探索時間の解析的な評価,2025,日本応用数理学会
今野 紀雄,立命館大学,,,,量子ウォークにもとづく 時系列解析,2024,日本応用数理学会
今野 紀雄,立命館大学,,,,量子ウォークにもとづく 時系列解析,2024,日本応用数理学会
根岸 幹太,早稲田大学 基幹理工学研究科,,,,遅延離散ロトカ・ボルテラ方程式の超離散化と遅延箱玉系,2022,日本応用数理学会
根岸 幹太,早稲田大学 基幹理工学研究科,,,,遅延離散ロトカ・ボルテラ方程式の超離散化と遅延箱玉系,2022,日本応用数理学会
根芝 冴,電気通信大学,,,,凸多角形紙片上の折り線が平行な山谷付き平坦折り問題,2021,日本応用数理学会
根芝 冴,電気通信大学,,,,凸多角形紙片上の折り線が平行な山谷付き平坦折り問題,2021,日本応用数理学会
佐々 成正,日本原子力研究開発機構,,,,4次元相空間保存系のダイナミクス,2025,日本応用数理学会
佐々 成正,日本原子力研究開発機構,,,,4次元相空間保存系のダイナミクス,2025,日本応用数理学会
佐々木 淑恵,明治大学,,,,エネルギー密度に着目した折紙構造の振動制御,2021,日本応用数理学会
佐々木 淑恵,明治大学,,,,エネルギー密度に着目した折紙構造の振動制御,2021,日本応用数理学会
佐々木 淑恵,明治大学先端数理科学インスティテュート,,,,エネルギー密度位相変更法による輸送箱の固有値制御法の提案,2022,日本応用数理学会
佐々木 淑恵,明治大学先端数理科学インスティテュート,,,,エネルギー密度位相変更法による輸送箱の固有値制御法の提案,2022,日本応用数理学会
佐々木 淑恵,明治大学,,,,折紙ヘルメットの設計とシミュレーション解析,2025,日本応用数理学会
佐々木 淑恵,明治大学,,,,折紙ヘルメットの設計とシミュレーション解析,2025,日本応用数理学会
佐々木 淑恵,明治大学,,,,折畳めるお洒落な作業ヘルメットの開発,2024,日本応用数理学会
佐々木 淑恵,明治大学,,,,折畳めるお洒落な作業ヘルメットの開発,2024,日本応用数理学会
佐々木 淑恵,明治大学先端数理科学インスティテュート,,,,扇のアプリの開発,2024,日本応用数理学会
佐々木 淑恵,明治大学先端数理科学インスティテュート,,,,扇のアプリの開発,2024,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,会話分析に基づく興味関心抽出と最適トピック提案：Zero-shot learningと感情評価の統合,2025,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,会話分析に基づく興味関心抽出と最適トピック提案：Zero-shot learningと感情評価の統合,2025,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,非平滑関数に対する確率的勾配降下法へのチェビシェフ法の適用と収束解析,2025,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,非平滑関数に対する確率的勾配降下法へのチェビシェフ法の適用と収束解析,2025,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,離散半線形波動方程式の解のlifespan評価,2024,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,離散半線形波動方程式の解のlifespan評価,2024,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,連続最適化問題に対する線形多段法の安定性解析,2024,日本応用数理学会
佐々木 多希子,武蔵野大学,,,,連続最適化問題に対する線形多段法の安定性解析,2024,日本応用数理学会
佐川 恭平,長岡技術科学大学,,,,Haskellを用いたMin-Max-Plus方程式の求解,2021,日本応用数理学会
佐川 恭平,長岡技術科学大学,,,,Haskellを用いたMin-Max-Plus方程式の求解,2021,日本応用数理学会
佐川 遼,大阪大学,,,,SAV法に基づく連続最適化手法のロバスト性および収束速度の改善について,2025,日本応用数理学会
佐川 遼,大阪大学,,,,SAV法に基づく連続最適化手法のロバスト性および収束速度の改善について,2025,日本応用数理学会
佐竹 希一,愛媛大学,,,,複雑な境界を持つ領域への代用電荷法による数値等角写像の方法について,2021,日本応用数理学会
佐竹 希一,愛媛大学,,,,複雑な境界を持つ領域への代用電荷法による数値等角写像の方法について,2021,日本応用数理学会
佐竹 真介,核融合科学研究所,,,,辺要素有限要素法による高温超伝導テープ線材中の磁気遮蔽電流密度解析,2021,日本応用数理学会
佐竹 真介,核融合科学研究所,,,,辺要素有限要素法による高温超伝導テープ線材中の磁気遮蔽電流密度解析,2021,日本応用数理学会
佐竹 祐樹,北海道大学,,,,行列方程式に対する低ランク型Krylov部分空間法のための前処理について,2024,日本応用数理学会
佐竹 祐樹,北海道大学,,,,行列方程式に対する低ランク型Krylov部分空間法のための前処理について,2024,日本応用数理学会
佐竹 祐樹,名古屋大学,,,,行列方程式に対する反復法のためのテンソル構造保存型前処理について,2022,日本応用数理学会
佐竹 祐樹,名古屋大学,,,,行列方程式に対する反復法のためのテンソル構造保存型前処理について,2022,日本応用数理学会
佐竹 翔平,熊本大学,,,,Paley RIPとPaley graph extractor,2024,日本応用数理学会
佐竹 翔平,熊本大学,,,,Paley RIPとPaley graph extractor,2024,日本応用数理学会
佐竹 翔平,明治大学 総合数理学部,,,,Triplet graphとsextet graphのエクスパンダー性について,2022,日本応用数理学会
佐竹 翔平,明治大学 総合数理学部,,,,Triplet graphとsextet graphのエクスパンダー性について,2022,日本応用数理学会
佐竹 翔平（熊本大学 大学院先端科学研究部 (工学系)）,,,,,Paley行列のRIPとPaley graph extractor,2021,日本応用数理学会
佐竹 翔平（熊本大学 大学院先端科学研究部 (工学系)）,,,,,Paley行列のRIPとPaley graph extractor,2021,日本応用数理学会
佐藤 一宏,東京大学大学院情報理工学系研究科数理情報学専攻,,,,ランダム射影による大規模な線形安定システムの低次元化,2022,日本応用数理学会
佐藤 一宏,東京大学大学院情報理工学系研究科数理情報学専攻,,,,ランダム射影による大規模な線形安定システムの低次元化,2022,日本応用数理学会
佐藤 海斗,東京大学大学院,,,,偏微分方程式に対するダイヤモンドスキームに関する諸検討,2024,日本応用数理学会
佐藤 海斗,東京大学大学院,,,,偏微分方程式に対するダイヤモンドスキームに関する諸検討,2024,日本応用数理学会
佐藤 寛之,京都大学,,,,p-ノルム球面上の最適化の理論と応用,2022,日本応用数理学会
佐藤 寛之,京都大学,,,,p-ノルム球面上の最適化の理論と応用,2022,日本応用数理学会
佐藤 寛之,京都大学大学院情報学研究科,,,,Probabilistic Singular Value Decomposition: A Probabilistic Model on the Standard Simplex,2022,日本応用数理学会
佐藤 寛之,京都大学大学院情報学研究科,,,,Probabilistic Singular Value Decomposition: A Probabilistic Model on the Standard Simplex,2022,日本応用数理学会
佐藤 寛之,京都大学,,,,Riemann多様体上のHZ型共役勾配法の固有値問題への応用,2022,日本応用数理学会
佐藤 寛之,京都大学,,,,Riemann多様体上のHZ型共役勾配法の固有値問題への応用,2022,日本応用数理学会
佐藤 寛之,京都大学,,,,リーマン多様体上の非線形共役勾配法の新たな枠組みと数値線形代数への応用,2021,日本応用数理学会
佐藤 寛之,京都大学,,,,リーマン多様体上の非線形共役勾配法の新たな枠組みと数値線形代数への応用,2021,日本応用数理学会
佐藤 巌,小山工業高等専門学校,,,,グローヴァーの探索アルゴリズムと絶対ゼータ関数,2024,日本応用数理学会
佐藤 巌,小山工業高等専門学校,,,,グローヴァーの探索アルゴリズムと絶対ゼータ関数,2024,日本応用数理学会
佐藤 慧,早稲田大学大学院基幹理工学研究科数学応用数理専攻,,,,Einstein方程式の数値計算のための拘束条件を用いた補正の最適化,2022,日本応用数理学会
佐藤 慧,早稲田大学大学院基幹理工学研究科数学応用数理専攻,,,,Einstein方程式の数値計算のための拘束条件を用いた補正の最適化,2022,日本応用数理学会
佐藤 峻,東京大学 大学院情報理工学系研究科,,,,Nesterovの加速勾配法の可変刻み線形多段法としての解釈とその応用について,2022,日本応用数理学会
佐藤 峻,東京大学 大学院情報理工学系研究科,,,,Nesterovの加速勾配法の可変刻み線形多段法としての解釈とその応用について,2022,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,勾配流に対する離散勾配を用いた最適化手法の統一的記述について,2022,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,勾配流に対する離散勾配を用いた最適化手法の統一的記述について,2022,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,最適化に現れる常微分方程式の本質的な収束レート,2021,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,最適化に現れる常微分方程式の本質的な収束レート,2021,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,最適化に適した安定な数値解法について,2021,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,最適化に適した安定な数値解法について,2021,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,最適化手法の連続時間モデルに関する本質的な収束率の精緻化,2024,日本応用数理学会
佐藤 峻,東京大学大学院情報理工学系研究科,,,,最適化手法の連続時間モデルに関する本質的な収束率の精緻化,2024,日本応用数理学会
佐藤 峻,東京大学大学院,,,,偏微分方程式に対するダイヤモンドスキームに関する諸検討,2024,日本応用数理学会
佐藤 峻,東京大学大学院,,,,偏微分方程式に対するダイヤモンドスキームに関する諸検討,2024,日本応用数理学会
佐藤 峻,東京大学,,,,偏微分方程式の重度演算子分解解法について,2024,日本応用数理学会
佐藤 峻,東京大学,,,,偏微分方程式の重度演算子分解解法について,2024,日本応用数理学会
佐藤 純,東京工芸大学,,,,可積分非エルミートスピン鎖におけるBetheストリング解の崩壊,2022,日本応用数理学会
佐藤 純,東京工芸大学,,,,可積分非エルミートスピン鎖におけるBetheストリング解の崩壊,2022,日本応用数理学会
佐藤 純,東京工芸大学,,,,二次元格子上の吸脱着付き非対称単純排他過程の厳密解,2024,日本応用数理学会
佐藤 純,東京工芸大学,,,,二次元格子上の吸脱着付き非対称単純排他過程の厳密解,2024,日本応用数理学会
佐藤 純,東京工芸大学,,,,量子ダークマルチソリトンのダイナミクス,2022,日本応用数理学会
佐藤 純,東京工芸大学,,,,量子ダークマルチソリトンのダイナミクス,2022,日本応用数理学会
佐藤 純,東京工芸大学,,,,量子系に現れるダークソリトン,2021,日本応用数理学会
佐藤 純,東京工芸大学,,,,量子系に現れるダークソリトン,2021,日本応用数理学会
佐藤 勝彦,北海道大学電子科学研究所,,,,細胞骨格の流れと基盤との摩擦によって誘起する細胞運動,2022,日本応用数理学会
佐藤 勝彦,北海道大学電子科学研究所,,,,細胞骨格の流れと基盤との摩擦によって誘起する細胞運動,2022,日本応用数理学会
